,filename,Source,Location_I,City,State,Country,Latitude,Longitude,Time_Zone,Elevation
70,USA GA Warner Robins Afb (TMY3).csv,TMY3,722175,Warner Robins Afb,GA,USA,32.633,-83.6,-5,92
71,USA WY Laramie General Brees Field (TMY3).csv,TMY3,725645,Laramie General Brees Field,WY,USA,41.317,-105.683,-7,2215
72,USA WI Milwaukee Mitchell Intl Ap (TMY3).csv,TMY3,726400,Milwaukee Mitchell Intl Ap,WI,USA,42.95,-87.9,-6,205
73,USA TX Midland International Ap (TMY3).csv,TMY3,722650,Midland International Ap,TX,USA,31.95,-102.183,-6,872
74,USA NC Winston-salem Reynolds Ap (TMY3).csv,TMY3,723193,Winston-salem Reynolds Ap,NC,USA,36.133,-80.217,-5,296
75,USA NE Lincoln Municipal Arpt (TMY3).csv,TMY3,725510,Lincoln Municipal Arpt,NE,USA,40.833,-96.767,-6,357
76,USA FL Pensacola Regional Ap (TMY3).csv,TMY3,722223,Pensacola Regional Ap,FL,USA,30.483,-87.183,-6,34
77,USA AZ Flagstaff Pulliam Arpt (TMY3).csv,TMY3,723755,Flagstaff Pulliam Arpt,AZ,USA,35.133,-111.667,-7,2132
78,USA MN Hallock (TMY3).csv,TMY3,727478,Hallock,MN,USA,48.783,-96.95,-6,250
79,USA PA Wilkes-barre Scranton Intl Ap (TMY3).csv,TMY3,725130,Wilkes-barre Scranton Intl Ap,PA,USA,41.333,-75.733,-5,284
80,USA KS Wichita Mid-continent Ap (TMY3).csv,TMY3,724500,Wichita Mid-continent Ap,KS,USA,37.65,-97.433,-6,402
81,USA MI Traverse City Cherry Capital (TMY3).csv,TMY3,726387,Traverse City Cherry Capital,MI,USA,44.733,-85.583,-5,188
82,USA DE Wilmington New Castle Cnty Ap (TMY3).csv,TMY3,724089,Wilmington New Castle Cnty Ap,DE,USA,39.667,-75.6,-5,23
83,USA VA Washington Dc Reagan Ap (TMY3).csv,TMY3,724050,Washington Dc Reagan Ap,VA,USA,38.867,-77.033,-5,3
84,USA FL Crestview Bob Sikes Ap (TMY3).csv,TMY3,722215,Crestview Bob Sikes Ap,FL,USA,30.783,-86.517,-6,58
85,USA ME Northern Aroostook (TMY3).csv,TMY3,726083,Northern Aroostook,ME,USA,47.283,-68.317,-5,309
86,USA CA Monterey Naf (TMY3).csv,TMY3,724915,Monterey Naf,CA,USA,36.6,-121.867,-8,50
87,USA MD Hagerstown Rgnl Ric (TMY3).csv,TMY3,724066,Hagerstown Rgnl Ric,MD,USA,39.7,-77.733,-5,220
88,USA TX Robert Gray Aaf (TMY3).csv,TMY3,722576,Robert Gray Aaf,TX,USA,31.067,-97.833,-6,312
